id,housing_id,image_url,alt_text,image_order,created_at
1,1,/cohome/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=2,오늘공동체주택_상세소개,1,2025-08-16 14:37:57
2,1,/coHouse/cmmn/file/fileDown.do?atchFileId=3d6d689f62194de8bad8bb6088379a00&fileSn=1,오늘공동체주택_상세소개_1,2,2025-08-16 14:37:57
3,1,/coHouse/cmmn/file/fileDown.do?atchFileId=fbfa07189c054a1c89f35fdc7125be94&fileSn=1,오늘공동체주택_상세소개_2,3,2025-08-16 14:37:57
4,1,/coHouse/cmmn/file/fileDown.do?atchFileId=dd56616d35c343d6a924255f025b9826&fileSn=1,오늘공동체주택_상세소개_3,4,2025-08-16 14:37:57
5,1,/coHouse/cmmn/file/fileDown.do?atchFileId=c313ef9ee3714b809da44dac21185cb7&fileSn=1,오늘공동체주택_상세소개_4,5,2025-08-16 14:37:57
6,1,/coHouse/cmmn/file/fileDown.do?atchFileId=82947015ab994406a9a5fda1d90f47df&fileSn=1,오늘공동체주택_상세소개_5,6,2025-08-16 14:37:57
7,1,/coHouse/cmmn/file/fileDown.do?atchFileId=5f9be3c45ad447bcbbc935167b42eb63&fileSn=1,오늘공동체주택_상세소개_6,7,2025-08-16 14:37:57
8,1,/coHouse/cmmn/file/fileDown.do?atchFileId=8fd247787adc432cb39635f01d8d84ef&fileSn=1,오늘공동체주택_상세소개_7,8,2025-08-16 14:37:57
9,1,/cohome/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=16,오늘공동체주택_평면도_15,9,2025-08-16 14:37:57
10,1,/cohome/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=17,오늘공동체주택_평면도_16,10,2025-08-16 14:37:57
11,1,/cohome/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=18,오늘공동체주택_평면도_17,11,2025-08-16 14:37:57
12,1,/cohome/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=19,오늘공동체주택_평면도_18,12,2025-08-16 14:37:57
13,1,/cohome/cmmn/file/fileDown.do?atchFileId=1f4e0b381954488a8a4627839f025a63&fileSn=20,오늘공동체주택_평면도_19,13,2025-08-16 14:37:57
14,1,/resources/coHouse/img/sub/impossible.png,입주불가능,14,2025-08-16 14:37:57
15,1,/resources/coHouse/img/sub/impossible.png,입주불가능,15,2025-08-16 14:37:57
16,1,/resources/coHouse/img/sub/impossible.png,입주불가능,16,2025-08-16 14:37:57
17,1,/resources/coHouse/img/sub/impossible.png,입주불가능,17,2025-08-16 14:37:57
18,1,/resources/coHouse/img/sub/impossible.png,입주불가능,18,2025-08-16 14:37:57
19,1,/resources/coHouse/img/sub/impossible.png,입주불가능,19,2025-08-16 14:37:57
20,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13973/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,20,2025-08-16 14:37:57
21,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13973/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,21,2025-08-16 14:37:57
22,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13973/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,22,2025-08-16 14:37:57
23,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13973/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,23,2025-08-16 14:37:57
24,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13974/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,24,2025-08-16 14:37:57
25,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13972/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,25,2025-08-16 14:37:57
26,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13974/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,26,2025-08-16 14:37:57
27,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13972/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,27,2025-08-16 14:37:57
28,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13974/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,28,2025-08-16 14:37:57
29,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13972/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,29,2025-08-16 14:37:57
30,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13974/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,30,2025-08-16 14:37:57
31,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13972/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,31,2025-08-16 14:37:57
32,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13975/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,32,2025-08-16 14:37:57
33,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13971/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,33,2025-08-16 14:37:57
34,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13975/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,34,2025-08-16 14:37:57
35,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13971/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,35,2025-08-16 14:37:57
36,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13975/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,36,2025-08-16 14:37:57
37,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13971/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,37,2025-08-16 14:37:57
38,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13975/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,38,2025-08-16 14:37:57
39,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13971/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,39,2025-08-16 14:37:57
40,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13976/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,40,2025-08-16 14:37:57
41,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13970/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,41,2025-08-16 14:37:57
42,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13976/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,42,2025-08-16 14:37:57
43,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13970/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,43,2025-08-16 14:37:57
44,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13976/6338@2x.png?mt=bg.ol.sw.ar.lko,평면도,44,2025-08-16 14:37:57
45,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13970/6337@2x.png?mt=bg.ol.sw.ar.lko,평면도,45,2025-08-16 14:37:57
46,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13976/6339@2x.png?mt=bg.ol.sw.ar.lko,평면도,46,2025-08-16 14:37:57
47,1,https://nrbe.pstatic.net/styles/basic/1755169776/14/13970/6336@2x.png?mt=bg.ol.sw.ar.lko,평면도,47,2025-08-16 14:37:57
48,1,https://ssl.pstatic.net/static/maps/mantle/2x/marker-default.png,평면도,48,2025-08-16 14:37:57
49,1,https://ssl.pstatic.net/static/maps/mantle/2x/dot.gif,평면도,49,2025-08-16 14:37:57
50,1,https://ssl.pstatic.net/static/maps/mantle/2x/new-scale-normal-b.png,평면도,50,2025-08-16 14:37:57
51,1,https://ssl.pstatic.net/static/maps/mantle/2x/new-scale-normal-l.png,평면도,51,2025-08-16 14:37:57
52,1,https://ssl.pstatic.net/static/maps/mantle/2x/new-scale-normal-r.png,평면도,52,2025-08-16 14:37:57
53,1,https://ssl.pstatic.net/static/maps/mantle/2x/naver-logo-normal-new.png,NAVER,53,2025-08-16 14:37:57
54,1,/coHouse/cmmn/file/fileDown.do?atchFileId=d39dd580c13f4f5d973877f62a682b32&fileSn=1,안녕공동체주택,54,2025-08-16 14:37:57
